Year,BSi MAR (mgSiO2/cm2y),BSi MAR (mgSiO2/cm2y)_1
-20557,2.95,NA
-20600,2.61,NA
-20643,2.72,NA
-20685,2.71,NA
-20728,2.37,NA
-20771,2.25,NA
-20813,2.33,NA
-20856,2.32,NA
-20898,2.14,NA
-20941,2.79,NA
-20984,2.37,NA
-21026,2.5,NA
-21069,2.31,NA
-21112,2.26,NA
-21154,2.2,NA
-21197,2.09,NA
-21240,2.2,NA
-21282,2.22,NA
-21325,1.9,NA
-21368,1.89,NA
-21410,2.13,NA
-21453,2.1,NA
-21495,2.22,NA
-21538,2.16,NA
-21581,2.28,NA
-21623,2.27,NA
-21666,2.12,NA
-21709,2.27,NA
-21751,2.18,NA
-21794,2.34,NA
-21837,2.63,NA
-21879,2.4,NA
-21922,2.2,NA
-21965,2.26,NA
-22007,2.26,NA
-22050,2.19,NA
-22092,2.01,NA
-22135,1.93,NA
-22178,1.97,NA
-22220,2.18,NA
-22263,2.27,NA
-22306,2.54,NA
