Year,Month,Rainfall
1991,Feb,287
1991,Mar,1586
1991,Apr,1430
1991,May,348
1991,Jun,51
1991,Jul,137
1991,Aug,NA
1991,Sep,26
1991,Oct,184
1991,Nov,332
1991,Dec,744
1992,Jan,30
1992,Feb,30
1992,Mar,450
1992,Apr,1030
1992,May,310
1992,Jun,30
1992,Jul,0
1992,Aug,20
1992,Sep,10
1992,Oct,210
1992,Nov,1930
1992,Dec,1980
1993,Jan,1420
1993,Feb,190
1993,Mar,170
1993,Apr,730
1993,May,40
1993,Jun,100
1993,Jul,10
1993,Aug,70
1993,Sep,10
1993,Oct,170
1993,Nov,1410
1993,Dec,1070
1994,Jan,80
1994,Feb,220
1994,Mar,2030
1994,Apr,110
1994,May,250
1994,Jun,10
1994,Jul,60
1994,Aug,20
1994,Sep,110
1994,Oct,140
1994,Nov,2640
1994,Dec,2020
1995,Jan,80
1995,Feb,270
1995,Mar,240
1995,Apr,1150
1995,May,50
1995,Jun,NA
1995,Jul,10
1995,Aug,100
1995,Sep,NA
1995,Oct,210
1995,Nov,2060
1995,Dec,190
1996,Jan,60
1996,Feb,290
1996,Mar,1060
1996,Apr,620
1996,May,380
1996,Jun,NA
1996,Jul,10
1996,Aug,NA
1996,Sep,10
1996,Oct,20
1996,Nov,1760
1996,Dec,570
